Employer,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
Cox Enterprises Inc.,"Atlanta, GA",F,F,F,F,F,,F,F,F,,90,90,
Cracker Barrel Old Country Store Inc.,"Lebanon, TN",F,,,F,F,,,F,P,,55,55,818
Crate and Barrel / CB2,"Northbrook, IL",F,F,F,F,F,F,F,F,F,,100,90,
"Cravath, Swaine & Moore LLP","New York, NY",F,F,F,F,F,F,F,F,P,,95,85,
Credit Suisse USA Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Crowell & Moring LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Crown Holdings,"Philadelphia, PA",,,,,,,,,,,0,10,318
CSAA Insurance Group,"Walnut Creek, CA",F,F,F,F,F,F,F,F,F,,100,100,
CST Brands,"San Antonio, TX",P,,,,,,,,,,10,10,277
CSX Corp.,"Jacksonville, FL",F,F,,F,F,F,F,F,F,,95,75,240
Cummins Inc.,"Columbus, IN",F,F,F,F,F,F,F,F,F,,100,100,154
CUNA Mutual Group,"Madison, WI",F,F,F,F,F,F,F,F,F,,100,90,687
CVS Health Corp.,"Woonsocket, RI",F,F,F,F,F,F,F,F,F,,100,100,10
Dana Holding Corp.,"Maumee, OH",F,,F,,,,,P,P,,30,30,410
Danaher Corp.,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,147
Daniel J. Edelman Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,,
Darden Restaurants Inc.,"Orlando, FL",F,F,F,F,F,F,F,F,F,,100,100,325
Davis Polk & Wardwell LLP,"New York, NY",F,F,F,F,F,F,F,F,P,,95,95,
Davis Wright Tremaine LLP,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,
DaVita Inc.,"Denver, CO",F,F,F,F,F,F,,P,P,,75,45,231
Day Pitney LLP,"Hartford, CT",F,F,F,F,F,F,F,F,F,,100,90,
Dean Foods Co.,"Dallas, TX",P,P,,F,P,,,P,,,40,40,306
Debevoise & Plimpton LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Dechert LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,
Deere & Co.,"Moline, IL",F,F,F,F,F,F,,F,P,,85,75,86
Delek US Holdings,"Brentwood, TN",,,,,,,,,,,0,,345
Delhaize America Inc.,"Salisbury, NC",F,F,F,F,F,F,F,F,F,,100,100,
Dell Inc.,"Round Rock, TX",F,F,F,F,F,F,F,F,F,,100,100,
Deloitte LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Delta Air Lines Inc.,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,90,73
Denny‰Ûªs Corp.,"Spartanburg, SC",F,F,F,F,F,,,F,P,,75,75,
Dentons US LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
"Depository Trust & Clearing Corp., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Deutsche Bank,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Devon Energy Corp.,"Oklahoma City, OK",P,P,,F,F,,,,,,40,20,152
Diageo North America,"Norwalk, CT",F,F,F,F,F,F,F,F,F,,100,100,
Dickinson Wright PLLC,"Detroit, MI",F,F,F,F,F,,F,F,P,,85,,
Dick‰Ûªs Sporting Goods Inc.,"Coraopolis, PA",P,P,,,,,,,,,20,20,393
Dickstein Shapiro LLP,"Washington, DC",F,F,,F,F,F,F,F,P,,90,85,
DigitasLBi,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Dillard‰Ûªs Inc.,"Little Rock, AR",P,P,,,,,,,,,20,20,400
Discover Financial Services,"Riverwoods, IL",F,F,F,F,F,F,F,F,F,,100,100,303
Discovery Communications Inc.,"Silver Spring, MD",P,P,,,,,,,,,20,20,430
DISH Network Corp.,"Englewood, CO",,,,,,,,,,,0,0,208
DLA Piper,"Baltimore, MD",F,F,F,F,F,F,F,F,F,,100,100,
Dole Food Co. Inc.,"Westlake Village, CA",,,,F,,,,,,,10,10,
Dollar General Corp.,"Goodlettsville, TN",F,F,F,F,F,,F,F,P,,85,85,159
Dollar Tree Stores Inc.,"Chesapeake, VA",P,P,,,,,,,,,20,20,330
Dominion Resources Inc.,"Richmond, VA",P,P,F,F,F,,F,F,P,,70,70,243
Domino‰Ûªs Pizza Inc.,"Ann Arbor, MI",F,F,F,F,F,,F,F,P,,85,75,
Domtar Corp.,"Fort Mill, SC",P,P,,,,,,,,,20,10,470
Dorsey & Whitney LLP,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,
Dover Corp.,"Downers Grove, IL",P,,,,,,,,,,10,10,346
"Dow Chemical Co., The","Midland, MI",F,F,F,F,F,F,F,F,F,,100,100,48
DR Horton Inc.,"Fort Worth, TX",P,P,,,,,,,,,20,20,354
Dr Pepper Snapple Group Inc.,"Plano, TX",F,F,,F,F,,,,P,,55,60,437
Drinker Biddle & Reath LLP,"Philadelphia , PA",F,F,F,F,F,F,F,F,P,,95,80,
Dropbox Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
DSW,"Columbus, OH",F,F,F,F,F,,F,F,F,,90,80,866
DTE Energy Co.,"Detroit, MI",F,F,F,,P,F,F,F,P,,80,75,246
Duane Morris LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,P,,95,85,
Duke Energy Corp.,"Charlotte, NC",F,F,F,F,F,,F,F,F,,90,90,116
"Dun & Bradstreet Corp., The","Short Hills, NJ",F,F,F,F,F,F,F,F,F,,100,20,
Dykema Gossett PLLC,"Detroit, MI",F,F,F,F,F,F,F,F,F,,100,100,
E&J Gallo Winery,"Modesto, CA",F,F,F,F,F,F,F,F,F,,100,100,
E*TRADE Financial Corp.,"New York, NY",F,F,F,F,F,,F,F,P,,80,65,1000
E. I. du Pont de Nemours and Co. (DuPont),"Wilmington, DE",F,F,F,F,F,F,F,F,F,,100,100,87
EarthLink Inc.,"Atlanta, GA",P,P,,F,P,,,P,,,40,40,
Eastern Bank Corp.,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Eastman Chemical Co.,"Kingsport, TN",F,F,F,F,F,F,F,F,P,,95,20,305
Eastman Kodak Co.,"Rochester, NY",F,F,F,F,F,F,F,F,F,,100,100,966
Eaton Corp.,"Cleveland, OH",F,F,F,F,F,F,F,F,F,,100,100,
eBay Inc.,"San Jose, CA",F,F,F,F,F,F,F,F,F,,100,100,172
Ecolab Inc.,"St. Paul, MN",F,F,F,F,F,F,F,F,F,,100,100,213
Edison International,"Rosemead, CA",P,P,,,,,,,,,20,20,226
Edward Jones,"St. Louis , MO",F,F,F,F,F,F,F,F,F,,100,10,426
Electronic Arts Inc.,"Redwood City, CA",F,F,F,F,F,F,F,F,F,,100,100,671
Eli Lilly & Co.,"Indianapolis, IN",F,F,F,F,F,F,F,F,F,,100,100,151
EMC Corp.,"Hopkinton, MA",F,F,F,F,F,F,F,F,F,,100,100,121
EMCOR Group Inc.,"Norwalk, CT",P,,,,,,,,,,10,10,421
Emerson Electric Co.,"St. Louis, MO",F,F,F,F,F,F,F,P,P,,90,80,120
Emmis Communications Corporation,"Indianapolis, IN",P,,,F,F,,F,F,P,,60,60,
Energy Future Holdings Corp.,"Dallas, TX",P,P,,,,,,,,,20,20,446
Energy Transfer Equity L.P.,"Dallas, TX",P,P,,,,,,,,,20,20,53
Entergy Corp.,"New Orleans, LA",F,F,F,F,F,,F,F,P,,85,85,241
Enterprise Holdings Inc.,"St. Louis, MO",F,F,F,F,F,F,,F,P,,85,75,
Enterprise Products Partners LP,"Houston, TX",,,,,,,,,,,0,10,59
EOG Resources,"Houston, TX",P,,,,,,,,,,10,10,167
Epstein Becker & Green PC,"New York, NY",F,F,F,F,F,,F,F,F,,90,90,
Erie Insurance Group,"Erie, PA",F,F,F,F,F,F,F,F,F,,100,100,436
Ernst & Young LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Essendant Inc.,"Deerfield, IL",P,,,,,,,,,,10,10,489
"EstÌ©e Lauder Companies Inc., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,271
Esurance Inc.,"San Francisco, CA",F,F,F,F,F,,F,F,F,,90,90,
Eventbrite Inc.,"San Francisco, CA",F,F,F,F,F,F,,F,P,,85,85,
Eversource Energy,"Springfield, MA",P,P,,,P,,,F,,,35,25,367
Excellus Health Plan Inc.,"Rochester, NY",F,F,F,F,F,F,F,F,F,,100,100,
Exelon Corp.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,111
Expedia Inc.,"Bellevue, WA",F,F,F,F,F,F,F,F,F,,100,90,458
Expeditors International of Washington Inc.,"Seattle, WA",P,P,,,,,,,,,20,20,413
Express Scripts Holding Company,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,90,22
Exxon Mobil Corp.,"Irving, TX",P,P,F,F,F,F,F,F,P,,85,40,2
Facebook Inc.,"Menlo Park, CA",F,F,F,F,F,F,F,F,F,,100,100,242
FactSet Research Systems Inc.,"Norwalk, CT",F,F,F,F,F,F,F,F,F,,100,100,
Faegre Baker Daniels,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Farmers Insurance Exchange,"Woodland Hills, CA",,,,,,,,,,,0,,264
FCA US LLC,"Auburn Hills, MI",F,F,F,F,F,F,F,F,F,,100,95,
Federal Home Loan Mortgage Corp. (Freddie Mac),"McLean, VA",F,F,F,F,F,F,F,F,F,,100,100,42
Federal National Mortgage Association (Fannie Mae),"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,17
Federal Reserve Bank of Atlanta,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,
Federal Reserve Bank of Boston,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Federal Reserve Bank of Chicago,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,90,
Federal Reserve Bank of Cleveland,"Cleveland, OH",F,F,F,F,F,F,F,F,F,,100,100,
Federal Reserve Bank of New York,"New York, NY",F,F,F,F,F,F,,F,F,,90,90,
Federal Reserve Bank of Philadelphia,"Philadelphia, PA",F,F,,F,F,F,,F,,,70,,
Federal Reserve Bank of Richmond,"Richmond, VA",F,F,F,F,F,F,F,F,F,,100,90,
Federal Reserve Bank of San Francisco,"San Francisco, CA",F,F,F,F,F,F,,F,P,,80,,
Federal Reserve Bank of St Louis,"Saint Louis, MO",F,F,F,F,F,F,F,F,F,,100,,
FedEx Corp.,"Memphis, TN",F,F,F,F,F,,F,F,P,,85,85,65
Fenwick & West LLP,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,
Fidelity National Financial Corp.,"Jacksonville, FL",P,P,,,,,,,,,20,20,314
Fidelity National Information Services Inc.,"Jacksonville, FL",F,F,F,F,F,,F,F,F,,90,10,422
Fifth Third Bancorp,"Cincinnati, OH",F,F,F,F,F,F,F,F,F,,100,100,416
Financial Industry Regulatory Authority Inc.,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,85,
"Finnegan, Henderson, Farabow, Garrett & Dunner LLP","Washington, DC",F,F,F,F,F,F,F,F,F,,100,95,
First American Financial Corp.,"Santa Ana, CA",F,F,F,F,F,F,,F,F,,90,10,554
First Data Corp.,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,265
First Horizon National Corp.,"Memphis, TN",F,F,F,F,F,,F,F,P,,85,85,
FirstEnergy Corp.,"Akron, OH",P,,,,,,,,,,10,10,206
Fish & Richardson PC,"Boston, MA",F,F,,F,F,F,F,F,P,,90,90,
Fleishman-Hillard Inc.,"St. Louis, MO",F,F,,F,F,,F,F,P,,75,75,
Fluor Corp.,"Irving, TX",F,F,F,F,F,,F,F,P,,85,85,136
FMC Technologies Inc.,"Houston, TX",P,,,F,F,,,,,,30,10,357
Foley & Lardner LLP,"Milwaukee, WI",F,F,F,F,F,F,F,F,F,,100,100,
Foley Hoag LLP,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Foot Locker Inc.,"New York, NY",P,,,,,,,,,,10,10,384
Ford Motor Co.,"Dearborn, MI",F,F,F,F,F,F,F,F,F,,100,100,9
Fossil Inc.,"Richardson, TX",F,F,F,F,F,F,,,P,,75,60,679
Franklin Resources Inc.,"San Mateo, CA",F,F,F,F,F,F,F,F,F,,100,90,335
Fredrikson & Byron,"Minneapolis, MN",F,F,F,F,F,F,F,F,P,,95,,
Freeport-McMoRan Copper & Gold Inc.,"Phoenix, AZ",,,,,,,,,,,0,0,137
Freescale Semiconductor Inc.,"Austin, TX",F,F,F,F,F,,,F,P,,75,75,
"Fried, Frank, Harris, Shriver & Jacobson LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Frost Brown Todd LLC,"Cincinnati, OH",F,F,F,F,F,F,F,F,F,,100,100,
"Galloway, Johnson, Tompkins, Burr & Smith PLC","New Orleans, LA",F,F,F,F,F,,F,F,F,,90,90,
GameStop Corp.,"Grapevine, TX",F,F,F,F,F,F,F,F,F,,100,100,311
Gannett Co. Inc.,"Mclean, VA",F,F,F,F,F,F,F,F,P,,95,,
Gap Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,188
Gastronomy Inc.,"Salt Lake City, UT",P,P,F,F,P,,,P,P,,50,50,
Genentech Inc.,"South San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
General Cable Corp.,"Highland Heights, KY",P,,,,,,,,,,10,10,443
General Dynamics Corp.,"Falls Church, VA",F,F,F,F,F,,F,F,F,,90,85,100
General Electric Co.,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,8
General Mills Inc.,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,171
General Motors Co.,"Detroit, MI",F,F,F,F,F,F,F,F,F,,100,100,6
Genesco Inc.,"Nashville, TN",F,F,F,F,F,,,F,P,,75,,781
Genuine Parts Co.,"Atlanta, GA",,,,,,,,,,,0,20,199
Genworth Financial Inc.,"Richmond, VA",F,F,F,F,F,F,F,F,F,,100,100,304
Giant Eagle Inc.,"Pittsburgh, PA",F,F,F,F,F,,F,F,P,,85,85,
"Gibson, Dunn & Crutcher LLP","Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,95,
Gilead Sciences Inc.,"Foster City, CA",F,F,F,F,F,F,,F,P,,85,80,118
GlaxoSmithKline LLC,"Research Triangle Park, NC",F,F,F,F,F,F,F,F,F,,100,95,
Global Partners,"Waltham, MA",P,,,,,,,,,,10,10,180
"Goldman Sachs Group Inc., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,76
Goodwin Procter LLP,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Goodyear Tire & Rubber Co.,"Akron, OH",F,F,F,F,F,,,F,F,,80,10,166
Google Inc.,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,40
Gordon & Rees LLP,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
Goulston & Storrs,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Graham Holdings,"Arlington, VA",,,F,F,F,,,,,,25,20,670
Grant Thornton LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,85,
Graybar Electric Company Inc.,"St. Louis, MO",P,P,,,,,,,,,20,20,445
Greenberg Traurig LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Group 1 Automotive,"Houston, TX",F,,,F,F,,,,,,35,35,291
Group Health Cooperative,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,95,
Group Health Permanente,"Seattle, WA",F,F,F,F,F,,F,F,P,,85,75,
Groupon Inc.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,718
"Guardian Life Insurance Co. of America, The","New York, NY",F,F,F,F,F,F,F,F,F,,100,75,254
H&M Hennes & Mauritz AB,"North Arlington, NJ",F,F,F,F,F,F,,,P,,70,70,
H&R Block Inc.,"Kansas City, MO",F,F,F,F,F,,,P,P,,70,70,751
H.E. Butt Grocery Co.,"San Antonio, TX",P,,,F,,,,F,,,30,30,
Hachette Book Group,"New York, NY",F,F,F,F,F,,,P,P,,70,70,
Halliburton Co.,"Houston, TX",P,,,,,,,,,,10,10,96
Hallmark Cards Inc.,"Kansas City, MO",F,F,F,F,F,F,F,F,F,,100,100,
Hanesbrands Inc.,"Winston-Salem, NC",F,F,F,F,F,F,F,P,P,,90,85,490
Hanover Insurance Group Inc.,"Worcester, MA",F,F,F,F,F,F,F,P,P,,90,90,511
Harley-Davidson Inc.,"Milwaukee, WI",P,,,,,,,,,,10,10,431
Harman International Industries Inc.,"Stamford, CT",,,,,,,,,,,0,,486
Harris Corp.,"Melbourne, FL",F,F,F,F,F,F,F,F,F,,100,100,517
"Hartford Financial Services Group Inc., The","Hartford, CT",F,F,F,F,F,F,F,F,F,,100,100,160
Harvard Pilgrim Health Care Inc.,"Wellesley, MA",F,F,F,F,F,F,F,F,F,,100,100,
Hasbro Inc.,"Pawtucket, RI",F,F,F,F,F,F,F,F,F,,100,90,595
Hawaiian Airlines Inc.,"Honolulu, HI",F,F,F,F,F,,,,P,,65,65,920
Haynes and Boone LLP,"Dallas, TX",F,F,F,F,F,F,F,F,P,,95,80,
HCA - Hospital Corporation of America,"Nashville, TN",F,F,,F,F,F,F,P,F,,90,70,75
HD Supply,"Atlanta, GA",P,P,,,,,,,,,20,20,316
Health Care Service Corp.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,95,
Health Net Inc.,"Woodland Hills, CA",P,P,F,F,F,,F,P,P,,65,65,216
HealthSouth Corp.,"Birmingham, AL",F,,F,F,F,,,F,P,,55,,893
Henry Schein Inc.,"Melville, NY",F,F,F,F,F,F,F,F,F,,100,100,287
HERE North America LLC,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Herman Miller Inc.,"Zeeland, MI",F,F,F,F,F,F,F,F,F,,100,100,
Herrick Feinstein LLP,"New York, NY",F,F,F,F,F,F,F,F,P,,90,90,
"Hershey Co., The","Hershey, PA",F,F,F,F,F,F,F,F,F,,100,100,376
Hertz Global Holdings Inc.,"Park Ridge, NJ",F,F,F,F,P,,,,P,,55,55,
Hess Corp.,"New York, NY",F,F,F,F,F,,,,P,,65,65,141
Hewlett Packard Enterprise Co.,"Palo Alto, CA",F,F,F,F,F,F,F,F,F,,100,,
Highmark Inc.,"Pittsburgh, PA",F,F,F,F,F,F,F,F,F,,100,,
Hilton Worldwide Inc.,"McLean, VA",F,F,F,F,F,F,F,F,F,,100,100,280
Hinshaw & Culbertson LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Hogan Lovells US LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Holland & Hart LLP,"Denver, CO",P,P,F,F,P,,,F,P,,55,55,
Holland & Knight LLP,"Brandon, FL",F,F,F,F,F,F,F,F,F,,100,100,
HollyFrontier Corp.,"Dallas, TX",P,P,,,,,,,,,20,20,150
"Home Depot Inc., The","Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,33
Honda North America Inc.,"Marysville, OH",F,F,F,F,F,F,,F,P,,85,50,
Honeywell International Inc.,"Morris Township, NJ",F,F,F,F,P,,F,F,P,,75,75,74
Horizon Healthcare Services Inc.,"Newark, NJ",P,P,F,F,F,,F,F,P,,70,70,
Hormel Foods Corp.,"Austin, MN",F,F,F,F,F,F,F,F,F,,100,100,310
Hortonworks Inc.,"Santa Clara, CA",F,F,F,F,F,,,F,,,65,,
Host Hotels & Resorts Inc.,"Bethesda, MD",,,,F,,,,,,,10,20,485
Houghton Mifflin Harcourt Publishing Co.,"Boston, MA",F,F,F,F,F,,F,P,P,,80,80,
Howard & Howard Attorneys PLLC,"Kalamazoo, MI",P,,,,P,,,P,,,20,20,
HP Inc.,"Palo Alto, CA",F,F,F,F,F,F,F,F,F,,100,100,19
HRG Group,"New York, NY",P,,,,,,,,,,10,10,447
HSBC USA,"New York, NY",F,F,F,F,F,F,F,F,F,,100,95,
HSN Inc.,"St. Petersburg, FL",F,F,F,F,F,,F,P,F,,85,85,669
Hughes Hubbard & Reed LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Humana Inc.,"Louisville, KY",F,F,F,F,F,F,F,F,F,,100,100,58
Huntington Bancshares Inc.,"Columbus, OH",F,F,F,F,F,F,F,F,F,,100,100,765
Huntington Ingalls Industries,"Newport News, VA",F,F,F,F,F,,F,F,P,,85,10,390
Hunton & Williams LLP,"Washington, DC",F,F,F,F,F,F,F,F,P,,95,95,
Huntsman Corp.,"The Woodlands, TX",F,,F,F,F,,,P,P,,55,35,259
Huron Consulting Group Inc.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Husch Blackwell LLP,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,90,
Hyatt Hotels Corp.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,583
Hyundai Motor America,"Fountain Valley, CA",F,F,F,F,F,F,F,F,F,,100,95,
IAC/InterActiveCorp.,"New York, NY",F,F,F,F,F,F,,P,P,,80,75,733
IBM Corp.,"Armonk, NY",F,F,F,F,F,F,F,F,F,,100,100,24
Icahn Enterprises LP,"New York, NY",P,,,,,,,,,,10,0,155
iHeartMedia Inc.,"San Antonio, TX",F,F,F,F,F,F,F,F,P,,95,55,429
IHS Markit Ltd.,"New York, NY",F,F,F,F,F,F,,F,F,,90,,
IKEA Holding US Inc.,"Conshohocken, PA",F,F,F,F,F,F,F,F,F,,100,100,
Illinois Tool Works Inc.,"Glenview, IL",F,F,F,F,F,,,P,P,,65,60,201
Imation Corp.,"Oakdale, MN",F,F,F,F,P,,,P,P,,60,60,
Infosys Limited Inc.,"Plano, TX",F,F,F,F,F,,,F,P,,70,70,
Ingersoll-Rand Company,"Davidson, NC",F,F,F,F,F,F,F,F,F,,100,90,
Ingram Micro,"Irvine, CA",F,F,F,F,F,,,P,P,,70,75,62
Ingredion Inc.,"Westchester, IL",,,,,,,,,,,0,0,462
Insight Enterprises Inc.,"Tempe, AZ",F,F,F,F,F,,,P,P,,65,60,493
Instacart Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,P,,95,,
Intel Corp.,"Santa Clara, CA",F,F,F,F,F,F,F,F,F,,100,100,52
InterContinental Hotels Group Americas,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,
International Paper Co.,"Memphis, TN",P,P,,F,P,,,F,,,45,25,114
Interpublic Group of Companies Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,372
INTL FCStone Inc.,"New York, NY",P,,,,,,,,,,10,10,93
Intuit Inc.,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,572
Invesco Ltd.,"Atlanta, GA",F,F,F,F,F,F,,P,P,,75,65,
ITT Corp.,"White Plains, NY",P,P,F,F,P,,,F,P,,55,55,823
