Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NasDaq,CHTR,"Charter Communications, Inc.",357.4,$92.17B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,1,0,0,0,0,0,1,0,"Stamford, CT",F,F,F,F,F,F,F,F,F,,100,10,317,90,Moderate Buy
NYSE,LM,"Legg Mason, Inc.",38.74,$3.63B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,P,,95,10,808,85,Moderate Buy
NYSE,FIS,"Fidelity National Information Services, Inc.",94.96,$31.57B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/fis,1,0,0,1,0,0,1,1,"Jacksonville, FL",F,F,F,F,F,N,F,F,F,,90,10,422,80,Strong Buy
NYSE,TEL,TE Connectivity Ltd.,87.74,$31.01B,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tel,1,0,0,1,0,0,1,0,"Berwyn, PA",F,F,F,F,F,F,F,F,F,,100,90,,10,Strong Buy
NYSE,UA,"Under Armour, Inc.",14.95,$6.59B,2016,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ua,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,P,,95,20,739,75,Hold
NasDaq,URBN,"Urban Outfitters, Inc.",22.54,$2.48B,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/urbn,1,0,0,0,0,0,1,0,"Philadelphia, PA",F,F,F,F,F,F,N,F,P,,85,10,701,75,Hold
NYSE,EMN,Eastman Chemical Company,88.65,$12.84B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn,1,0,0,1,1,0,1,0,"Kingsport, TN",F,F,F,F,F,F,F,F,P,,95,20,305,75,Moderate Buy
NYSE,HII,"Huntington Ingalls Industries, Inc.",234.4,$10.64B,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/hii,1,0,0,0,0,0,1,0,"Newport News, VA",F,F,F,F,F,N,F,F,P,,85,10,390,75,Hold
NasDaq,GT,The Goodyear Tire & Rubber Company,33.01,$8.31B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt,1,0,0,1,1,0,1,0,"Akron, OH",F,F,F,F,F,N,N,F,F,,80,10,166,70,Strong Buy
NYSE,PSX,Phillips 66,94.43,$48.3B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/psx,1,0,0,0,0,1,1,0,"Houston, TX",F,F,F,F,F,N,N,F,P,,75,20,7,55,Moderate Buy
NYSE,LOW,"Lowe&#39;s Companies, Inc.",82.33,$68.57B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low,1,0,0,0,0,1,1,0,"New York, NY",F,F,F,F,F,N,N,P,F,,75,25,211,50,Moderate Buy
NYSE,WCC,"WESCO International, Inc.",58.85,$2.82B,1999,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/wcc,1,0,0,0,0,0,1,0,"Pittsburgh, PA",F,F,F,F,F,N,N,N,N,,55,10,360,45,Moderate Buy
NYSE,BIG,"Big Lots, Inc.",51.44,$2.18B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/big,1,0,0,0,0,0,1,0,"Columbus, OH",F,F,N,F,F,N,N,P,P,,65,20,501,45,Strong Buy
NYSE,XOM,Exxon Mobil Corporation,82.41,$349.18B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/xom,1,0,0,1,0,1,1,0,"Irving, TX",P,P,F,F,F,F,F,F,P,,85,40,2,45,Hold
NYSE,PNW,Pinnacle West Capital Corporation,87.38,$9.75B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/pnw,1,0,0,0,0,0,1,0,"Phoenix, AZ",F,F,F,F,F,F,N,F,F,,90,50,683,40,Hold
NYSE,KSS,Kohl&#39;s Corporation,42.14,$7.1B,1992,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss,1,0,0,0,0,1,1,0,"Menomonee Falls, WI",F,F,F,F,F,F,F,F,P,,95,60,157,35,Moderate Buy
NYSE,WDR,"Waddell & Reed Financial, Inc.",20.42,$1.71B,1998,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/wdr,1,0,0,0,0,0,1,0,"Overland Park, KS",F,F,F,F,F,F,N,P,P,,80,75,,5,Moderate Sell
NYSE,NSC,Norfolk Souther Corporation,131.65,$37.94B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/nsc,1,0,0,0,0,1,1,0,"Norfolk, VA",F,F,F,F,F,N,F,F,P,,80,45,256,35,Hold
NYSE,ADM,Archer-Daniels-Midland Company,44,$24.75B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/adm,1,0,0,1,1,1,1,0,"Decatur, IL",F,F,N,F,F,N,N,F,P,,65,35,34,30,Hold
NYSE,DVA,DaVita Inc.,54.73,$10.46B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva,1,0,0,0,0,0,1,0,"Denver, CO",F,F,F,F,F,F,N,P,P,,75,45,231,30,Hold
NYSE,BCO,Brink&#39;s Company (The),86.35,$4.36B,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/bco,1,0,0,0,0,0,1,0,"Dallas, TX",F,F,F,F,F,F,N,F,P,,80,55,777,25,Moderate Buy
NasDaq,CME,CME Group Inc.,137.31,$46.67B,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme,1,0,0,0,0,1,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,P,,95,70,732,25,Strong Buy
NYSE,SYK,Stryker Corporation,146.69,$54.87B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/syk,1,0,0,0,0,1,1,0,"Kalamazoo, MI",F,F,F,F,F,F,F,F,F,,100,80,300,20,Moderate Buy
NasDaq,TSRO,"TESARO, Inc.",123,$6.66B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tsro,1,0,0,0,0,0,1,0,"San Antonio, TX",P,P,N,F,F,N,N,N,N,,40,20,77,20,Moderate Buy
NYSE,UNM,Unum Group,51.97,$11.73B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/unm,1,0,0,0,0,0,1,0,"Chattanooga, TN",F,F,F,F,F,N,F,P,P,,80,60,279,20,Hold
NasDaq,AMD,"Advanced Micro Devices, Inc.",14.22,$13.46B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,1,0,0,1,0,0,1,0,"Sunnyvale, CA",F,F,F,F,F,F,F,F,F,,100,80,473,20,Hold
NYSE,APC,Anadarko Petroleum Corporation,47.79,$26.78B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc,1,0,0,1,0,1,1,0,"The Woodlands, TX",P,P,N,F,F,N,N,N,N,,40,20,162,20,Moderate Buy
NasDaq,AKAM,"Akamai Technologies, Inc.",50.76,$8.7B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,1,0,0,1,0,0,1,0,"Cambridge, MA",F,F,F,F,F,F,F,F,F,,100,75,,25,Moderate Buy
NasDaq,CAR,"Avis Budget Group, Inc.",41.26,$3.41B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/car,1,0,0,0,0,0,1,0,"Parsippany, NJ",F,F,F,F,F,F,F,F,P,,95,75,336,20,Moderate Buy
NYSE,BBT,BB&T Corporation,46.7,$37.74B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbt,1,0,0,0,0,1,1,0,"Winston-Salem, NC",F,F,F,F,F,F,F,F,F,,100,80,292,20,Moderate Buy
NYSE,BWA,BorgWarner Inc.,51.13,$10.79B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/bwa,1,0,0,0,0,0,1,0,"Auburn Hills, MI",P,P,N,F,F,N,N,N,N,,40,20,347,20,Moderate Buy
NasDaq,CSX,CSX Corporation,52.83,$48.25B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx,1,0,0,1,0,1,1,0,"Jacksonville, FL",F,F,N,F,F,F,F,F,F,,95,75,240,20,Moderate Buy
NYSE,DVN,Devon Energy Corporation,35.87,$18.85B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn,1,0,0,1,0,1,1,0,"Oklahoma City, OK",P,P,N,F,F,N,N,N,N,,40,20,152,20,Strong Buy
NYSE,FMC,FMC Corporation,93.72,$12.57B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fmc,1,0,0,0,0,0,1,0,"Houston, TX",P,N,N,F,F,N,N,N,N,,30,10,357,20,Moderate Buy
NYSE,HCA,"HCA Healthcare, Inc.",74.58,$26.94B,2011,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hca,1,0,0,0,0,0,1,0,"Nashville, TN",F,F,N,F,F,F,F,P,F,,90,70,75,20,Strong Buy
NYSE,HUN,Huntsman Corporation,29.32,$7.8B,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hun,1,0,0,0,1,0,1,0,"The Woodlands, TX",F,N,F,F,F,N,N,P,P,,55,35,259,20,Strong Buy
NYSE,IP,International Paper Company,57.45,$23.72B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ip,1,0,0,0,1,0,1,0,"Memphis, TN",P,P,N,F,P,N,N,F,N,,45,25,114,20,Moderate Buy
NasDaq,JBHT,"J.B. Hunt Transport Services, Inc.",104.01,$11.38B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht,1,0,0,0,0,0,1,0,"Lowell, AR",P,P,N,N,N,N,N,N,N,,20,0,434,20,Moderate Buy
NYSE,LVLT,"Level 3 Communications, Inc.",55.36,$20.08B,2011,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lvlt,1,0,0,0,0,0,1,0,"New York, NY",P,P,N,F,F,N,N,N,N,,40,20,252,20,Hold
NYSE,MPC,Marathon Petroleum Corporation,56.37,$28.54B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc,1,0,0,0,0,1,1,0,"Findlay, OH",F,F,F,F,F,N,N,F,P,,75,55,25,20,Moderate Buy
NasDaq,MU,"Micron Technology, Inc.",40.4,$45.01B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu,1,0,0,1,0,0,1,0,"Boise, ID",P,P,N,F,F,N,N,N,N,,40,20,190,20,Strong Buy
NYSE,MHK,"Mohawk Industries, Inc.",254.99,$18.96B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/mhk,1,0,0,0,0,0,1,0,"Calhoun, GA",P,P,N,F,P,N,N,N,N,,35,15,362,20,Strong Buy
NYSE,NEM,Newmont Mining Corporation,38.59,$20.58B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nem,1,0,0,0,1,1,1,0,"Greenwood Village, CO",F,F,F,F,F,F,F,F,F,,100,80,379,20,Moderate Buy
NasDaq,PDCO,"Patterson Companies, Inc.",37.41,$3.58B,1992,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/pdco,1,0,0,0,0,0,1,0,"St. Paul, MN",F,F,F,F,F,N,N,P,N,,60,40,617,20,Hold
NasDaq,TXN,Texas Instruments Incorporated,93.59,$92.66B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn,1,0,0,1,0,1,1,0,"Dallas, TX",F,F,F,F,F,F,F,F,F,,100,85,233,15,Moderate Buy
NYSE,BFAM,Bright Horizons Family Solutions Inc.,85.15,$5.04B,2013,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/bfam,1,0,0,0,0,0,1,0,"Watertown, MA",F,F,F,F,F,F,F,F,F,,100,85,,15,Moderate Buy
NYSE,TSN,"Tyson Foods, Inc.",70.21,$25.22B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/tsn,1,0,0,0,1,0,1,0,"Springdale, AR",F,F,F,F,F,F,F,F,F,,100,85,83,15,Moderate Buy
NYSE,WEC,"WEC Energy Group, Inc.",65.1,$20.54B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/wec,1,0,0,0,0,0,1,0,"Milwaukee, WI",F,F,F,F,F,N,N,F,P,,75,60,519,15,Hold
NasDaq,ADSK,"Autodesk, Inc.",119.63,$26.22B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk,1,0,0,0,0,0,1,0,"San Rafael, CA",F,F,F,F,F,F,F,F,F,,100,85,862,15,Strong Buy
NYSE,CNC,Centene Corporation,90.56,$15.62B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cnc,1,0,0,0,0,0,1,0,"St. Louis, MO",F,F,F,F,F,F,F,F,P,,95,80,186,15,Moderate Buy
NasDaq,ETFC,E*TRADE Financial Corporation,43.86,$12.05B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,N,F,F,P,,80,65,1000,15,Moderate Buy
NasDaq,FOSL,"Fossil Group, Inc.",8.51,$412.92M,1993,Consumer Non-Durables,Consumer Specialties,http://www.nasdaq.com/symbol/fosl,1,0,0,0,0,0,1,0,"Richardson, TX",F,F,F,F,F,F,N,N,P,,75,60,679,15,Moderate Buy
NYSE,SJM,J.M. Smucker Company (The),105.11,$11.94B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/sjm,1,0,0,1,0,0,1,0,"Orrville, OH",F,F,F,F,F,F,F,P,P,,90,75,467,15,Hold
NYSE,JCI,Johnson Controls International plc,41.69,$38.87B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci,1,0,0,0,0,1,1,1,"Milwaukee, WI",F,F,F,F,F,N,N,F,P,,75,60,66,15,Strong Buy
NYSE,LEA,Lear Corporation,173.37,$11.79B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea,1,0,0,0,0,0,1,0,"Southfield, MI",F,F,F,F,F,F,F,F,F,,100,85,174,15,Moderate Buy
NYSE,OMC,Omnicom Group Inc.,75.14,$17.34B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/omc,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,85,200,15,Hold
NYSE,RHI,Robert Half International Inc.,49.01,$6.18B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/rhi,1,0,0,0,0,0,1,0,"Menlo Park, CA",F,F,F,F,F,F,F,F,F,,100,85,552,15,Moderate Buy
NYSE,SYY,Sysco Corporation,54.45,$28.46B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/syy,1,0,0,1,0,1,1,0,"Houston, TX",F,F,F,F,F,N,F,F,P,,80,70,61,10,Moderate Buy
NYSE,TEN,Tenneco Inc.,61.5,$3.27B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ten,1,0,0,0,0,0,1,0,"Lake Forest, IL",P,P,N,N,N,N,N,N,N,,20,10,341,10,Moderate Buy
NYSE,UPS,"United Parcel Service, Inc.",118.36,$102.5B,1999,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/ups,1,0,0,1,0,1,1,0,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,90,47,10,Hold
NYSE,VLO,Valero Energy Corporation,78.08,$34.49B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vlo,1,0,0,0,0,1,1,0,"San Antonio, TX",P,P,N,N,N,N,N,N,N,,20,10,13,10,Moderate Buy
NYSE,WMT,"Wal-Mart Stores, Inc.",86.62,$258.75B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/wmt,1,0,0,1,1,1,1,0,"Bentonville, AR",F,F,F,F,F,F,F,F,F,,100,90,1,10,Moderate Buy
NYSE,DPZ,Domino&#39;s Pizza Inc,192.98,$8.44B,2004,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dpz,1,0,0,0,0,0,1,0,"Ann Arbor, MI",F,F,F,F,F,N,F,F,P,,85,75,,10,Moderate Buy
NYSE,XEL,Xcel Energy Inc.,48.61,$24.68B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/xel,1,0,0,0,0,0,1,0,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,90,255,10,Hold
NYSE,AEE,Ameren Corporation,60.41,$14.66B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee,1,0,0,1,0,0,1,0,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,90,438,10,Hold
